title,price,isbn,publication_year,language,cover_type,pages_number,book_id,author_id,publisher_id,genre,rating
Դառը ծովը,5800.0,9789939884943,2023.0,Armenian,Hard,336.0,1,1,1,Non-Fiction,0.5
Աշխարհի պատմությունը 10½ գլուխներով,5990.0,9789939980256,2023.0,Armenian,Hard,480.0,2,2,2,Science Fiction,2.5
Ալ տառը,4990.0,9789939980140,2023.0,Armenian,Ultrathin,280.0,3,3,2,Fiction,4.5
Լուսնաքարը,5990.0,9789939980089,2023.0,Armenian,Hard,656.0,4,4,2,Non-Fiction,4.9
«Ծիածանը» և ․․․,8400.0,9789939113852,2023.0,Armenian,Hard,168.0,5,5,3,Romance,2.2
Տառապանքի ուղիներում,5490.0,9789939980348,2023.0,Armenian,Hard,440.0,6,6,2,Romance,3.0
Ամոնտիլյադոյի տակառը,3990.0,9789939980300,2023.0,Armenian,Hard,168.0,7,7,2,Mystery,3.8
Բետոնե տեսիլք. Fragile Concrete,15000.0,2002394000008,2023.0,Armenian,Hard,76.0,8,8,4,Self-Help,3.9
Փշերով դեպի աստղեր,4200.0,9789939894294,2023.0,Armenian,Hard,102.0,9,9,4,Self-Help,3.6
Թունավոր գրիչով ձեռքը,3900.0,9789939759371,2023.0,Armenian,Soft,264.0,10,10,5,Fiction,2.2
Stalin as warlord,15200.0,9780300264616,2020.0,English,Hard,376.0,11,11,6,History,0.5
Stalin. Passage to revolution,18500.0,9780691202716,2023.0,English,Soft,896.0,12,12,7,Mystery,0.5
Նա առանց նրա,3400.0,9789939044149,2023.0,Armenian,Soft,79.0,13,13,4,Non-Fiction,4.4
"Ծույլ, կամակոր և խռովկան բզեզի ամուսնությունը",1700.0,9789939607917,2023.0,Armenian,Soft,23.0,14,14,4,Self-Help,2.6
Հրեշտակների կածանը,3500.0,9789939899749,2023.0,Armenian,Soft,138.0,15,15,4,Biography,1.9
Աֆորիզմներ,1590.0,9789939769356,2023.0,Armenian,Hard,58.0,16,16,2,Non-Fiction,4.7
